Rank	Visual magnitude simple	Visual magnitude	Proper name	Bayer designation simple	Bayer designation	Constellation	Distance (ly)	Spectral type simple	Spectral type	Spectral class	Spectral subclass	Luminosity class	Celestial Hemisphere
49	2	2	Hamal 	Alpha Ari	α Ari	Ari	66	K1	K1 IIIb	K	1	III	Northern
50	2.02	2.02	Diphda 	Beta Cet	β Cet	Cet	96	K0	K0 III	K	0	III	Southern
51	2.04	2.04	Mizar 	Zeta UMa	ζ UMa	UMa	83	A2	A2 Vp, A2 Vp, Am	A	2	V	Northern
52	2.05	2.05	Nunki 	Sigma Sgr	σ Sgr	Sgr	230	B2	B2.5 V	B	2.5	V	Southern
53	2.06	2.06	Menkent 	Theta Cen	θ Cen	Cen	59	K0	K0 III	K	0	III	Southern
54	2.06	2.06	Alpheratz 	Alpha And/Delta Peg	α And/δ Peg	Peg	97	B8	B8 IVpMnHg, A3 V	B	8	IV	Northern
55	2.07	2.07 (2.01-2.10 var )	Mirach 	Beta And	β And	And	200	M0	M0 III	M	0	III	Northern
56	2.07	2.07	Rasalhague 	Alpha Oph	α Oph	Oph	47	A5	A5IVnn	A	5	IV	Northern
57	2.08	2.08 (2.37 + 3.64)	Algieba 	Gamma Leo	γ Leo	Leo	130	K0	K0 III, G7 IIIb	K	0	III	Northern
58	2.08	2.08	Kochab 	Beta UMi	β UMi	UMi	130	K4	K4 III	K	4	III	Northern
59	2.09	2.09	Saiph 	Kappa Ori	κ Ori	Ori	720	B0	B0.5 Ia	B	0.5	Ia	Southern
60	2.11	2.11	Denebola 	Beta Leo	β Leo	Leo	36	A3	A3 Va	A	3	V	Northern
61	2.12	2.12 (2.1-3.39 var )	Algol 	Beta Per	β Per	Per	93	B8	B8 V, K0 IV, A7m	B	8	V	Northern
62	2.15	2.15 (2.0-2.3 var )	Tiaki 	Beta Gru	β Gru	Gru	170	M5	M5 III	M	5	III	Southern
63	2.17	2.17	Muhlifain 	Gamma Cen	γ Cen	Cen	130	A0	A0 III, A0 III	A	0	III	Southern
64	2.21	2.21	Aspidiske 	Iota Car	ι Car	Car	690	A9	A9 Ib	A	9	I	Southern
65	2.21	2.21 (2.14-2.30 var )	Suhail 	Lambda Vel 	λ Vel 	Vel	570	K4	K4 Ib	K	4	I	Southern
66	2.23	2.23 (2.21-2.32 var )	Alphecca 	Alpha CrB	α CrB	CrB	75	A0	A0 V, G5 V	A	0	V	Northern
67	2.23	2.23 (2.23-2.35 var )	Mintaka 	Delta Ori	δ Ori	Ori	900	O9	O9.5 II, B1 V, B0 IV	O	9.5	II	Southern
68	2.23	2.23	Sadr 	Gamma Cyg	γ Cyg	Cyg	1500	F8	F8 Iab	F	8	Ia	Northern
69	2.23	2.23	Eltanin 	Gamma Dra	γ Dra	Dra	150	K5	K5 III	K	5	III	Northern
70	2.24	2.24	Schedar 	Alpha Cas	α Cas	Cas	230	K0	K0 IIIa	K	0	III	Northern
71	2.25	2.25	Naos 	Zeta Pup	ζ Pup	Pup	1080	O4	O4 If(n)p	O	4	I	Southern
72	2.26	2.26	Almach 	Gamma And	γ And	And	350	K3	K3 IIb, B9.5 V, B9.5 V, A0 V	K	3	II	Northern
73	2.28	2.28 (2.25-2.31 var )	Caph 	Beta Cas	β Cas	Cas	54	F2	F2 III	F	2	III	Northern
74	2.29	2.29	Izar 	Epsilon Boo	ε Boo	Boo	202	K0	K0 II-III, A2 V	K	0	II	Northern
75	2.3	2.30 (2.29-2.34 var )	N/A	Alpha Lup 	α Lup 	Lup	550	B1	B1.5 III	B	1.5	III	Southern
76	2.3	2.30 (2.29-2.31 var )	N/A	Epsilon Cen 	ε Cen 	Cen	380	B1	B1III	B	1	III	Southern
77	2.31	2.31 (1.6-2.32 var )	Dschubba 	Delta Sco	δ Sco	Sco	400	B0	B0.3 IV, B1-3 V	B	0.3	IV	Southern
78	2.31	2.31	Larawag 	Epsilon Sco	ε Sco	Sco	65	K1	K1 III	K	1	III	Southern
79	2.35	2.35 (2.30-2.41 var )	N/A	Eta Cen 	η Cen 	Cen	310	B1	B1.5 Vne	B	1.5	V	Southern
80	2.37	2.37	Merak 	Beta UMa	β UMa	UMa	79	A1	A1 IVps	A	1	IV	Northern
81	2.38	2.38	Ankaa 	Alpha Phe	α Phe	Phe	77	K0	K0.5 IIIb	K	0.5	III	Southern
82	2.39	2.39	Girtab 	Kappa Sco 	κ Sco 	Sco	460	B1	B1.5 III	B	1.5	III	Southern
83	2.4	2.40 (0.7-3.0 var )	Enif 	Epsilon Peg	ε Peg	Peg	670	K2	K2 Ib	K	2	I	Northern
84	2.42	2.42 (2.31-2.74 var )	Scheat 	Beta Peg	β Peg	Peg	200	M2	M2.5 II-IIIe	M	2.5	II	Northern
85	2.43	2.43	Sabik 	Eta Oph	η Oph	Oph	88	A1	A1 IV, A1 IV	A	1	IV	Southern
86	2.44	2.44	Phecda 	Gamma UMa	γ UMa	UMa	84	A0	A0 Ve	A	0	V	Northern
87	2.45	2.45	Aludra 	Eta CMa	η CMa	CMa	2000	B5	B5 Ia	B	5	Ia	Southern
88	2.46	2.46	Alderamin 	Alpha Cep	α Cep	Cep	49	A8	A8Vn	A	8	V	Northern
89	2.46	2.46	Markeb 	Kappa Vel	κ Vel	Vel	540	B2	B2 IV	B	2	IV	Southern
90	2.47	2.47 (1.6-3.0 var )	N/A	Gamma Cas 	γ Cas 	Cas	610	B0	B0.5 IVe	B	0.5	IV	Northern
91	2.48	2.48	Markab 	Alpha Peg	α Peg	Peg	140	A0	A0 IV	A	0	IV	Northern
92	2.48	2.48	Aljanah 	Epsilon Cyg	ε Cyg	Cyg	72	K0	K0 III-IV	K	0	III	Northern
93	2.5	2.5	Acrab 	Beta Sco	β Sco	Sco	404	B0	B0.5 IV-V, B1.5 V, B2 V	B	0.5	IV	Southern
